logID,lineID,sid,time,tid,component,message,template,values
1,1,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:149+0200,6,ngl-lib_NglController,ExecuteRequest: request id: 129 api: 12 data?: no workflow?: no,ExecuteRequest: request id: <*> api: <*> data?: <*> workflow?: no,"['129', '12', 'no']"
1,2,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:176+0200,57,ngl-lib_DataStorage,SaveToStorageImpl: New note created,SaveToStorageImpl: New note created,[]
1,3,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:193+0200,42,ngl-lib_SPVerifier,IsValidSignedProfile: Signature verification success,IsValidSignedProfile: Signature verification success,[]
1,4,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:195+0200,8,ngl-lib_COPWebAPIConnector,Fetching Information for User : Req-Id-a75664d4-9bb1-4f4c-af9c-04b1d53862e0,Fetching Information for User : <*>,['Req-Id-a75664d4-9bb1-4f4c-af9c-04b1d53862e0']
1,5,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:195+0200,58,ngl-lib_HttpRestConnectorForPost,SendHttpRequestSync: Post Request about to start,SendHttpRequestSync: Post Request about to start,[]
1,6,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:195+0200,60,ngl-lib_HTTPRequestMac,SendHttpRequestSyncInternal: Calling endpoint https://lcs-cops.adobe.io/asnp/unlicensed/v1,SendHttpRequestSyncInternal: Calling endpoint <*>,['https://lcs-cops.adobe.io/asnp/unlicensed/v1']
1,7,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:755+0200,56,ngl-lib_HttpRequestDelegate,Received Response with status 204,Received Response with status <*>,['204']
1,8,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:755+0200,28,ngl-lib_HttpRequestDelegate,Got empty response,Got empty response,[]
1,9,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:755+0200,59,ngl-lib_HttpRestConnectorForPost,SendHttpRequestSync: Post Request complete,SendHttpRequestSync: Post Request complete,[]
1,10,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:755+0200,10,ngl-lib_NUSecureProfileFetcher ErrorID=COPRetrieverStatus:13,GetAuthenticatedProfile : Failed to fetch ASNP,GetAuthenticatedProfile : Failed to fetch ASNP,[]
1,11,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:761+0200,58,ngl-lib_HttpRestConnectorForPost,SendHttpRequestSync: Post Request about to start,SendHttpRequestSync: Post Request about to start,[]
1,12,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:10:761+0200,60,ngl-lib_HTTPRequestMac,SendHttpRequestSyncInternal: Calling endpoint https://lcs-robs.adobe.io/v1/workflow/error_notification,SendHttpRequestSyncInternal: Calling endpoint <*>,['https://lcs-robs.adobe.io/v1/workflow/error_notification']
1,13,4733baec-314f-431a-8c90-e493e5d60b6a.1590241250970,2020-06-03T17:11:11:494+0200,56,ngl-lib_HttpRequestDelegate,Received Response with status 200,Received Response with status <*>,['200']
