technique,system,num_logs,recall,specificity,log-timestamp
MINT-SYS,Hadoop,68,1.0,0.9142857142857143,20210101_184227_141096
PRINS,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-1,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-2,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-3,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-4,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-5,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-6,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-7,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-8,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-9,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-10,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
PRINS:hybrid-1000,Hadoop,68,1.0,0.8833333333333332,20210101_184227_141096
MINT-SYS,NGLClient,42,0.8550000000000001,1.0,20210101_190025_8120
PRINS,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-1,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-2,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-3,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-4,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-5,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-6,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-7,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-8,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-9,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-10,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
PRINS:hybrid-1000,NGLClient,42,0.8550000000000001,0.975,20210101_190025_8120
MINT-SYS,HDFS,1000,0.9809999999999999,0.37300000000000005,20210101_185230_182334
PRINS,HDFS,1000,0.9469999999999998,0.8239999999999998,20210101_185230_182334
PRINS:hybrid-1,HDFS,1000,0.9799999999999999,0.7220000000000001,20210101_185230_182334
PRINS:hybrid-2,HDFS,1000,0.9799999999999999,0.712,20210101_185230_182334
PRINS:hybrid-3,HDFS,1000,0.9809999999999999,0.692,20210101_185230_182334
PRINS:hybrid-4,HDFS,1000,0.9809999999999999,0.6700000000000002,20210101_185230_182334
PRINS:hybrid-5,HDFS,1000,0.9809999999999999,0.6690000000000002,20210101_185230_182334
PRINS:hybrid-6,HDFS,1000,0.983,0.658,20210101_185230_182334
PRINS:hybrid-7,HDFS,1000,0.984,0.6339999999999999,20210101_185230_182334
PRINS:hybrid-8,HDFS,1000,0.985,0.581,20210101_185230_182334
PRINS:hybrid-9,HDFS,1000,0.986,0.571,20210101_185230_182334
PRINS:hybrid-10,HDFS,1000,0.986,0.571,20210101_185230_182334
PRINS:hybrid-1000,HDFS,1000,0.986,0.5660000000000001,20210101_185230_182334
MINT-SYS,Linux,42,0.355,0.885,20210101_184426_163018
PRINS,Linux,42,0.1,0.9800000000000001,20210101_184426_163018
PRINS:hybrid-1,Linux,42,0.12,0.9800000000000001,20210101_184426_163018
PRINS:hybrid-2,Linux,42,0.19,0.9550000000000001,20210101_184426_163018
PRINS:hybrid-3,Linux,42,0.215,0.9550000000000001,20210101_184426_163018
PRINS:hybrid-4,Linux,42,0.24,0.9550000000000001,20210101_184426_163018
PRINS:hybrid-5,Linux,42,0.24,0.9550000000000001,20210101_184426_163018
PRINS:hybrid-6,Linux,42,0.24,0.9550000000000001,20210101_184426_163018
PRINS:hybrid-7,Linux,42,0.24,0.93,20210101_184426_163018
PRINS:hybrid-8,Linux,42,0.24,0.93,20210101_184426_163018
PRINS:hybrid-9,Linux,42,0.24,0.93,20210101_184426_163018
PRINS:hybrid-10,Linux,42,0.24,0.93,20210101_184426_163018
PRINS:hybrid-1000,Linux,42,0.29,0.93,20210101_184426_163018
MINT-SYS,Spark,217,,,20210101_184627_4948
PRINS,Spark,217,,,20210101_184627_4948
PRINS:hybrid-1,Spark,217,,,20210101_184627_4948
PRINS:hybrid-2,Spark,217,,,20210101_184627_4948
PRINS:hybrid-3,Spark,217,,,20210101_184627_4948
PRINS:hybrid-4,Spark,217,,,20210101_184627_4948
PRINS:hybrid-5,Spark,217,,,20210101_184627_4948
PRINS:hybrid-6,Spark,217,,,20210101_184627_4948
PRINS:hybrid-7,Spark,217,,,20210101_184627_4948
PRINS:hybrid-8,Spark,217,,,20210101_184627_4948
PRINS:hybrid-9,Spark,217,,,20210101_184627_4948
PRINS:hybrid-10,Spark,217,,,20210101_184627_4948
PRINS:hybrid-1000,Spark,217,,,20210101_184627_4948
MINT-SYS,PDApp,787,0.9707237909769555,0.9771178188899707,20210101_235209_23025
PRINS,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-1,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-2,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-3,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-4,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-5,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-6,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-7,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-8,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-9,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-10,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
PRINS:hybrid-1000,PDApp,787,0.9478740668614087,0.9758033106134372,20210101_235209_23025
MINT-SYS,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-1,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-2,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-3,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-4,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-5,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-6,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-7,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-8,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-9,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-10,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
PRINS:hybrid-1000,Oobelib,250,0.9799999999999999,1.0,20210101_185230_92025
MINT-SYS,CoreSync,1418,0.9471331535311158,0.8512436320047947,20210105_135537_114467
PRINS,CoreSync,1418,0.92456797522725,0.8955948456697632,20210105_135537_114467
PRINS:hybrid-1,CoreSync,1418,0.930915992408351,0.8927679552492258,20210105_135537_114467
PRINS:hybrid-2,CoreSync,1418,0.9316202177604633,0.8927679552492258,20210105_135537_114467
PRINS:hybrid-3,CoreSync,1418,0.9323244431125761,0.8927679552492258,20210105_135537_114467
PRINS:hybrid-4,CoreSync,1418,0.9323244431125761,0.8927679552492258,20210105_135537_114467
PRINS:hybrid-5,CoreSync,1418,0.9323244431125761,0.8927679552492258,20210105_135537_114467
PRINS:hybrid-6,CoreSync,1418,0.9337328938168017,0.8913595045450006,20210105_135537_114467
PRINS:hybrid-7,CoreSync,1418,0.9337328938168017,0.8913595045450006,20210105_135537_114467
PRINS:hybrid-8,CoreSync,1418,0.9337328938168017,0.8913595045450006,20210105_135537_114467
PRINS:hybrid-9,CoreSync,1418,0.9337328938168017,0.8913595045450006,20210105_135537_114467
PRINS:hybrid-10,CoreSync,1418,0.9337328938168017,0.8913595045450006,20210105_135537_114467
PRINS:hybrid-1000,CoreSync,1418,0.9337328938168017,0.8913595045450006,20210105_135537_114467
MINT-SYS,Zookeeper,36,0.21666666666666665,0.925,20210107_103559_89118
PRINS,Zookeeper,36,0.03333333333333333,1.0,20210107_103559_89118
PRINS:hybrid-1,Zookeeper,36,0.1,1.0,20210107_103559_89118
PRINS:hybrid-2,Zookeeper,36,0.1,1.0,20210107_103559_89118
PRINS:hybrid-3,Zookeeper,36,0.1,1.0,20210107_103559_89118
PRINS:hybrid-4,Zookeeper,36,0.1,1.0,20210107_103559_89118
PRINS:hybrid-5,Zookeeper,36,0.1,1.0,20210107_103559_89118
PRINS:hybrid-6,Zookeeper,36,0.1,1.0,20210107_103559_89118
PRINS:hybrid-7,Zookeeper,36,0.1,1.0,20210107_103559_89118
PRINS:hybrid-8,Zookeeper,36,0.1,1.0,20210107_103559_89118
PRINS:hybrid-9,Zookeeper,36,0.1,1.0,20210107_103559_89118
PRINS:hybrid-10,Zookeeper,36,0.1,1.0,20210107_103559_89118
PRINS:hybrid-1000,Zookeeper,36,0.1,1.0,20210107_103559_89118
