system,technique,num_logs,time_s,PR_time,IN_time,S_time,states,transitions
CoreSync,PRINS-w4,1418,675.434,0.013,621.096,54.325,22683,23965
CoreSync,PRINS-w4,1418,672.042,0.013,621.130,50.899,22683,23965
CoreSync,PRINS-w4,1418,606.946,0.010,564.482,42.453,22683,23965
CoreSync,PRINS-w4,1418,692.401,0.013,643.154,49.234,22683,23965
CoreSync,PRINS-w4,1418,693.262,0.014,638.191,55.057,22683,23965
CoreSync,PRINS-w4,1418,729.812,0.014,651.036,78.762,22683,23965
CoreSync,PRINS-w4,1418,623.514,0.013,580.732,42.769,22683,23965
CoreSync,PRINS-w4,1418,671.282,0.013,614.233,57.035,22683,23965
CoreSync,PRINS-w4,1418,716.718,0.014,667.326,49.378,22683,23965
CoreSync,PRINS-w4,1418,611.173,0.010,569.143,42.020,22683,23965
CoreSync,PRINS-w3,1418,671.225,0.014,613.957,57.254,22683,23965
CoreSync,PRINS-w3,1418,662.230,0.012,609.471,52.747,22683,23965
CoreSync,PRINS-w3,1418,620.881,0.012,577.710,43.159,22683,23965
CoreSync,PRINS-w3,1418,697.071,0.012,644.846,52.213,22683,23965
CoreSync,PRINS-w3,1418,714.994,0.014,658.952,56.028,22683,23965
CoreSync,PRINS-w3,1418,738.730,0.017,665.959,72.755,22683,23965
CoreSync,PRINS-w3,1418,620.314,0.011,575.402,44.902,22683,23965
CoreSync,PRINS-w3,1418,672.665,0.013,611.710,60.942,22683,23965
CoreSync,PRINS-w3,1418,698.908,0.014,637.414,61.480,22683,23965
CoreSync,PRINS-w3,1418,607.754,0.011,565.422,42.320,22683,23965
CoreSync,PRINS-w2,1418,686.060,0.015,632.130,53.914,22683,23965
CoreSync,PRINS-w2,1418,676.673,0.013,623.601,53.059,22683,23965
CoreSync,PRINS-w2,1418,617.429,0.011,574.500,42.918,22683,23965
CoreSync,PRINS-w2,1418,701.310,0.013,650.957,50.340,22683,23965
CoreSync,PRINS-w2,1418,705.320,0.018,648.429,56.873,22683,23965
CoreSync,PRINS-w2,1418,713.080,0.020,639.868,73.192,22683,23965
CoreSync,PRINS-w2,1418,641.359,0.012,594.315,47.033,22683,23965
CoreSync,PRINS-w2,1418,677.565,0.013,619.012,58.540,22683,23965
CoreSync,PRINS-w2,1418,714.271,0.014,654.126,60.131,22683,23965
CoreSync,PRINS-w2,1418,618.667,0.013,576.282,42.372,22683,23965
