system,technique,num_logs,duplicated,time_s,PR_time,IN_time,S_time,states,transitions
Oobelib,PRINS-w4,250,1,1065.549,0.018,1055.214,10.317,31811,36410
Oobelib,PRINS-w3,250,1,1044.755,0.016,1033.912,10.827,31811,36410
Oobelib,PRINS-w2,250,1,1051.915,0.015,1041.135,10.766,31811,36410
Oobelib,PRINS-w1,250,1,1084.028,0.015,1073.369,10.643,31811,36410
Oobelib,hybrid-0,250,1,1.55,,,,1220,1519
Oobelib,hybrid-1,250,1,9.441,,,,1195,1484
Oobelib,hybrid-2,250,1,9.525,,,,1105,1368
Oobelib,hybrid-3,250,1,9.586,,,,1104,1366
Oobelib,hybrid-4,250,1,10.525,,,,1104,1366
Oobelib,hybrid-5,250,1,9.679,,,,1104,1366
Oobelib,hybrid-6,250,1,9.378,,,,1104,1366
Oobelib,hybrid-7,250,1,9.289,,,,1104,1366
Oobelib,hybrid-8,250,1,9.68,,,,1104,1366
Oobelib,hybrid-9,250,1,9.274,,,,1104,1366
Oobelib,hybrid-10,250,1,9.353,,,,1104,1366
Oobelib,PRINS-w4,250,1,999.106,0.015,988.876,10.215,31811,36410
Oobelib,PRINS-w3,250,1,1004.089,0.015,993.83,10.243,31811,36410
Oobelib,PRINS-w2,250,1,988.072,0.038,977.384,10.651,31811,36410
Oobelib,PRINS-w1,250,1,1014.365,0.015,1004.089,10.261,31811,36410
Oobelib,hybrid-0,250,1,1.463,,,,1220,1519
Oobelib,hybrid-1,250,1,9.194,,,,1195,1484
Oobelib,hybrid-2,250,1,9.244,,,,1105,1368
Oobelib,hybrid-3,250,1,9.122,,,,1104,1366
Oobelib,hybrid-4,250,1,9.067,,,,1104,1366
Oobelib,hybrid-5,250,1,9.111,,,,1104,1366
Oobelib,hybrid-6,250,1,9.235,,,,1104,1366
Oobelib,hybrid-7,250,1,9.133,,,,1104,1366
Oobelib,hybrid-8,250,1,9.082,,,,1104,1366
Oobelib,hybrid-9,250,1,9.2,,,,1104,1366
Oobelib,hybrid-10,250,1,9.103,,,,1104,1366
Oobelib,PRINS-w4,250,1,974.191,0.014,963.911,10.266,31811,36410
Oobelib,PRINS-w3,250,1,989.447,0.014,979.172,10.261,31811,36410
Oobelib,PRINS-w2,250,1,994.754,0.039,984.475,10.24,31811,36410
Oobelib,PRINS-w1,250,1,1006.072,0.014,995.829,10.229,31811,36410
Oobelib,hybrid-0,250,1,1.496,,,,1220,1519
Oobelib,hybrid-1,250,1,10.099,,,,1195,1484
Oobelib,hybrid-2,250,1,9.196,,,,1105,1368
Oobelib,hybrid-3,250,1,9.399,,,,1104,1366
Oobelib,hybrid-4,250,1,9.911,,,,1104,1366
Oobelib,hybrid-5,250,1,9.905,,,,1104,1366
Oobelib,hybrid-6,250,1,9.246,,,,1104,1366
Oobelib,hybrid-7,250,1,9.567,,,,1104,1366
Oobelib,hybrid-8,250,1,9.875,,,,1104,1366
Oobelib,hybrid-9,250,1,9.66,,,,1104,1366
Oobelib,hybrid-10,250,1,9.291,,,,1104,1366
Oobelib,PRINS-w4,500,2,2654.432,0.031,2632.816,21.585,55365,65968
Oobelib,PRINS-w3,500,2,2702.196,0.033,2680.868,21.295,55365,65968
Oobelib,PRINS-w2,500,2,2685.572,0.071,2664.112,21.39,55365,65968
Oobelib,PRINS-w1,500,2,2734.003,0.07,2712.196,21.737,55365,65968
Oobelib,hybrid-0,500,2,3.277,,,,867,1172
Oobelib,hybrid-1,500,2,20.358,,,,804,1070
Oobelib,hybrid-2,500,2,20.481,,,,793,1048
Oobelib,hybrid-3,500,2,20.639,,,,741,977
Oobelib,hybrid-4,500,2,20.322,,,,741,977
Oobelib,hybrid-5,500,2,20.507,,,,741,977
Oobelib,hybrid-6,500,2,20.593,,,,741,977
Oobelib,hybrid-7,500,2,20.609,,,,741,977
Oobelib,hybrid-8,500,2,20.428,,,,741,977
Oobelib,hybrid-9,500,2,20.464,,,,741,977
Oobelib,hybrid-10,500,2,20.406,,,,741,977
Oobelib,PRINS-w4,500,2,2655.474,0.033,2633.73,21.711,55365,65968
Oobelib,PRINS-w3,500,2,2824.464,0.038,2802.464,21.962,55365,65968
Oobelib,PRINS-w2,500,2,2662.616,0.08,2640.368,22.167,55365,65968
Oobelib,PRINS-w1,500,2,2746.469,0.073,2724.214,22.182,55365,65968
Oobelib,hybrid-0,500,2,3.434,,,,867,1172
Oobelib,hybrid-1,500,2,22.045,,,,804,1070
Oobelib,hybrid-2,500,2,21.69,,,,793,1048
Oobelib,hybrid-3,500,2,21.99,,,,741,977
Oobelib,hybrid-4,500,2,21.727,,,,741,977
Oobelib,hybrid-5,500,2,21.279,,,,741,977
Oobelib,hybrid-6,500,2,21.404,,,,741,977
Oobelib,hybrid-7,500,2,20.885,,,,741,977
Oobelib,hybrid-8,500,2,21.117,,,,741,977
Oobelib,hybrid-9,500,2,21.64,,,,741,977
Oobelib,hybrid-10,500,2,21.164,,,,741,977
Oobelib,PRINS-w4,500,2,2603.81,0.033,2582.113,21.664,55365,65968
Oobelib,PRINS-w3,500,2,2699.854,0.036,2677.976,21.842,55365,65968
Oobelib,PRINS-w2,500,2,2708.832,0.071,2687.077,21.684,55365,65968
Oobelib,PRINS-w1,500,2,2704.231,0.069,2682.285,21.877,55365,65968
Oobelib,hybrid-0,500,2,3.351,,,,867,1172
Oobelib,hybrid-1,500,2,21.238,,,,804,1070
Oobelib,hybrid-2,500,2,21.331,,,,793,1048
Oobelib,hybrid-3,500,2,21.399,,,,741,977
Oobelib,hybrid-4,500,2,21.262,,,,741,977
Oobelib,hybrid-5,500,2,21.3,,,,741,977
Oobelib,hybrid-6,500,2,21.5,,,,741,977
Oobelib,hybrid-7,500,2,21.254,,,,741,977
Oobelib,hybrid-8,500,2,21.188,,,,741,977
Oobelib,hybrid-9,500,2,21.393,,,,741,977
Oobelib,hybrid-10,500,2,20.927,,,,741,977
Oobelib,PRINS-w4,750,3,2497.709,0.052,2459.731,37.926,95584,109213
Oobelib,PRINS-w3,750,3,2397.023,0.058,2358.675,38.29,95584,109213
Oobelib,PRINS-w2,750,3,2311.08,0.06,2273.618,37.402,95584,109213
Oobelib,PRINS-w1,750,3,2568.296,0.055,2529.752,38.489,95584,109213
Oobelib,hybrid-0,750,3,6.171,,,,1300,1626
Oobelib,hybrid-1,750,3,52.631,,,,1266,1582
Oobelib,hybrid-2,750,3,51.609,,,,1173,1462
Oobelib,hybrid-3,750,3,52.88,,,,1092,1346
Oobelib,hybrid-4,750,3,54.482,,,,1056,1304
Oobelib,hybrid-5,750,3,54.891,,,,1056,1304
Oobelib,hybrid-6,750,3,54.06,,,,1056,1304
Oobelib,hybrid-7,750,3,53.657,,,,1056,1304
Oobelib,hybrid-8,750,3,53.752,,,,1056,1304
Oobelib,hybrid-9,750,3,53.362,,,,1056,1304
Oobelib,hybrid-10,750,3,53.227,,,,1056,1304
Oobelib,PRINS-w4,750,3,2398.729,0.052,2360.642,38.035,95584,109213
Oobelib,PRINS-w3,750,3,2475.061,0.057,2437.299,37.705,95584,109213
Oobelib,PRINS-w2,750,3,2402.583,0.055,2364.955,37.574,95584,109213
Oobelib,PRINS-w1,750,3,2542.207,0.055,2504.613,37.54,95584,109213
Oobelib,hybrid-0,750,3,5.708,,,,1300,1626
Oobelib,hybrid-1,750,3,52.522,,,,1266,1582
Oobelib,hybrid-2,750,3,52.179,,,,1173,1462
Oobelib,hybrid-3,750,3,54.839,,,,1092,1346
Oobelib,hybrid-4,750,3,54.471,,,,1056,1304
Oobelib,hybrid-5,750,3,54.659,,,,1056,1304
Oobelib,hybrid-6,750,3,54.614,,,,1056,1304
Oobelib,hybrid-7,750,3,54.727,,,,1056,1304
Oobelib,hybrid-8,750,3,54.376,,,,1056,1304
Oobelib,hybrid-9,750,3,55.69,,,,1056,1304
Oobelib,hybrid-10,750,3,55.894,,,,1056,1304
Oobelib,PRINS-w4,750,3,2394.078,0.053,2356.916,37.109,95584,109213
Oobelib,PRINS-w3,750,3,2324.583,0.056,2287.443,37.084,95584,109213
Oobelib,PRINS-w2,750,3,2358.656,0.054,2321.458,37.144,95584,109213
Oobelib,PRINS-w1,750,3,2563.212,0.057,2526.104,37.051,95584,109213
Oobelib,hybrid-0,750,3,5.883,,,,1300,1626
Oobelib,hybrid-1,750,3,51.598,,,,1266,1582
Oobelib,hybrid-2,750,3,50.458,,,,1173,1462
Oobelib,hybrid-3,750,3,52.919,,,,1092,1346
Oobelib,hybrid-4,750,3,53.307,,,,1056,1304
Oobelib,hybrid-5,750,3,53.828,,,,1056,1304
Oobelib,hybrid-6,750,3,53.699,,,,1056,1304
Oobelib,hybrid-7,750,3,53.915,,,,1056,1304
Oobelib,hybrid-8,750,3,54.071,,,,1056,1304
Oobelib,hybrid-9,750,3,53.376,,,,1056,1304
Oobelib,hybrid-10,750,3,53.365,,,,1056,1304
Oobelib,PRINS-w4,1000,4,3256.991,0.079,3203.994,52.918,126137,144236
Oobelib,PRINS-w3,1000,4,3133.134,0.077,3079.503,53.553,126137,144236
Oobelib,PRINS-w2,1000,4,3237.461,0.078,3184.041,53.342,126137,144236
Oobelib,PRINS-w1,1000,4,3439.733,0.079,3385.632,54.022,126137,144236
Oobelib,hybrid-0,1000,4,8.302,,,,1305,1626
Oobelib,hybrid-1,1000,4,69.985,,,,1271,1577
Oobelib,hybrid-2,1000,4,69.227,,,,1178,1459
Oobelib,hybrid-3,1000,4,72.994,,,,1097,1346
Oobelib,hybrid-4,1000,4,73.824,,,,1061,1299
Oobelib,hybrid-5,1000,4,73.507,,,,1061,1299
